stemmed_and_stopword_translated_text,neg,neu,pos,compound,sentiment_label
yradianto find commissioner grandson condition try worry depdikbud schoolboy sd smp kramp commissioner bumn kren love wind ukt delay,0.205,0.63,0.165,0.0,neutral
dips info parttimealwarmansing nothelp payout semester,0.0,1.0,0.0,0.0,neutral
student pay well thing class aowwokwo sane person,0.147,0.632,0.221,0.1779,positive
hi phantiraq beloved mutual help group pay ut kidding help reply mail thanks helping,0.059,0.297,0.644,0.9153,positive
fessy kids rich fissip kids vocal issue wae faculty losing,0.183,0.563,0.254,0.25,positive
uktunpadstyles snbp suchastheheaven unlessfisip quitemillion,0.0,1.0,0.0,0.0,neutral
pay earth produce ukt muhammadiyah university wantmere pecil tfhfoj g jfhywot pd,0.123,0.877,0.0,-0.1027,negative
ernestpremoniously exhausted ukt deal legal age narration tapera escapes precious tin metal steady pecqh split projo parpol kayak,0.108,0.603,0.289,0.4939,positive
ruu siar tapera ruu pol ruu tni issue papua ormas religion ampanganganganukt uktup gratitude cancellatana pmtungcan fencing crucial post free change age head red section times let go ok opo maneh ki,0.0,0.767,0.233,0.8316,positive
arisatariwanto change set uu tni uu uu polri tapera ukt gas contentsofcorruption goldtt tax subsidi prate,0.0,1.0,0.0,0.0,neutral
um fess maba yes,0.0,0.526,0.474,0.4019,positive
many dates,0.0,1.0,0.0,0.0,neutral
sbmptnfess escaped snbt chose low target scholarship,0.259,0.741,0.0,-0.2732,negative
sbmptnfess goes college pass snbt ukt select univ accepts,0.0,0.777,0.223,0.3182,positive
amn tmn pressfocus ruu siar workfocuss tapera studentfocus ukt,0.0,1.0,0.0,0.0,neutral
receivedpts ptstake kkipk ptspayk kipkkakkakukk uktp pps,0.0,1.0,0.0,0.0,neutral
kgblgnunfaedh howyathinksthe middlegoong ingraduate familygraduate unfaedh whatdoyouthink themiddlegoaldultigated itfeed quitea drag,0.16,0.84,0.0,-0.2263,negative
tanmwasdead omp costan expensivelife,0.0,1.0,0.0,0.0,neutral
comesup bptapeera sthenew news disbanded suri gatigati gatigatigatigall soulsabritaxup percentuuukt ohh greattimeyou shake,0.124,0.876,0.0,-0.1779,negative
get goal son tired,0.492,0.508,0.0,-0.4404,negative
nopapapapat ukt get away snbt udh tired self teaching,0.266,0.734,0.0,-0.4404,negative
elpoghu compasstv pays interest debt using us dollar cursing press psychological level automatically byr swollen debt interest due push bankrupt amps needs fresh money urgent lack debt kcjb emerges ukt ukt tapera,0.288,0.495,0.217,-0.5106,negative
ernestpremonster labor busy tapera students keep ukt eh know changing matter head area wkwkwwwkwkwkk,0.0,0.922,0.078,0.0258,neutral
exttra god permit escape snbt ukt light smooth mind upbringing,0.0,0.678,0.322,0.4215,positive
weve sleeping times questioning ol,0.259,0.741,0.0,-0.1027,negative
compcom impressions ukt taxes protest raised tax score orders fools know yes answer,0.277,0.479,0.245,-0.1531,negative
henrysubiakto brani owes pay people forced pay ukt tapera withdraw gas subsidy pln pay debt ux nrjyffff,0.447,0.553,0.0,-0.7717,negative
anvie neohistoria id tried support yesterday protested busy tell shut yesterday,0.114,0.682,0.205,0.296,positive
ch chotimah ukt dinas tapera menra program mister handshake wise pro people choose motion choke body,0.17,0.68,0.15,-0.1027,negative
compass meant hang debt,0.455,0.545,0.0,-0.3612,negative
dips mam mba bem temn understands free play ukt congregation scripts like july wait free,0.0,0.489,0.511,0.8885,positive
friend students taught get used parents business,0.0,0.652,0.348,0.4939,positive
notcalltoseethe allocationdatambkkm issue nextukt try analyze problem helpmoneygetawaykip,0.278,0.722,0.0,-0.4019,negative
crowd hangs compass cares tax people raised forced taper,0.231,0.538,0.231,0.0,neutral
middle issues rise cost univ quality ukt,0.0,1.0,0.0,0.0,neutral
collegemenfuss bismillah semester pay okt,0.259,0.741,0.0,-0.1027,negative
yes brakesyou uktboughtbass duetoyou caperclassumemg understand samjijiwahh bajiji baughh,0.0,0.748,0.252,0.4019,positive
really ukt tapera bpjs mas,0.0,1.0,0.0,0.0,neutral
spin suju ss price gile bgt kuk ukt,0.0,1.0,0.0,0.0,neutral
noyexol cost money,0.0,1.0,0.0,0.0,neutral
ernestpremonster busystudentup ukt,0.0,1.0,0.0,0.0,neutral
core nullification commercialized desire proteges donating price tag goods,0.0,0.748,0.252,0.4019,positive
parents tapera tapera son rame ukt smooth road family dynasty,0.0,1.0,0.0,0.0,neutral
stupid bangstuju youcanbombout ukt naek ni udhdak peoplespayawise taperaalrmjn cmw tapera treach command people,0.207,0.793,0.0,-0.5267,negative
want bear orauna neohistoria id mhsw attacked dizziness pays focus criticism community aspirations,0.343,0.581,0.076,-0.6808,negative
wise jokeri cm ken na na joeowi according value pancasila omnibus law freeport tapera permissions hgu im commercialized student accordance pancasila value think cm limit,0.0,0.736,0.264,0.7845,positive
ugm fess univ atm protege amrik ukt student loan repressive student demo action,0.167,0.833,0.0,-0.34,negative
think worth lot money ticket,0.0,0.678,0.322,0.2263,positive
glotttusee hello gladisssss ukt prophetadam disturbeds bodyyes,0.0,1.0,0.0,0.0,neutral
inti si wowo lintik rame preparatory jakarta da stay anies power zolim work unsedicted,0.0,1.0,0.0,0.0,neutral
hmuhlong muchukt,0.0,1.0,0.0,0.0,neutral
scared sp got away afraid expensive ukt,0.326,0.674,0.0,-0.4404,negative
flying taxi cab noh ukt fly aalbnblm,0.0,1.0,0.0,0.0,neutral
yes minimum yes,0.0,0.156,0.844,0.6597,positive
standuptheprice ukt butirespectresidentugm facefacefacechatthe demo student,0.0,1.0,0.0,0.0,neutral
english hard orders know right opinion academia teacher lost ssma ticktok entered teacher hard get salary teacher equal smart tell life,0.206,0.685,0.109,-0.1027,negative
people fund gatherement compasses selling tax increases cost haji tapera manage country finished,0.0,1.0,0.0,0.0,neutral
compass country poorer taking care interest fractions debt falling moment panic,0.469,0.237,0.294,-0.4019,negative
mochareta dyananest jjajengnaa collegemenfass cost kisar practice semester cost private entrance plans,0.0,1.0,0.0,0.0,neutral
confused ask many times sick tired court,0.68,0.32,0.0,-0.8176,negative
drelaxandra ifyouchangethem peopleyes modellike tapera ukt,0.0,1.0,0.0,0.0,neutral
sbmptnfess detuplicated gap year gt graduated snbt snbt take care daful file okt ga heavy ortu gt easy take care aamiin aamiin godumma amiin,0.0,0.585,0.415,0.91,positive
yurissa samosir sanamvelcro choymarkochoy kang kang toniee mustafagus nohceukenohhh daughter adedhani chaidar ay pratung ukt came tapera,0.0,1.0,0.0,0.0,neutral
rame polymic iur obligatory tapera whose salary restless conditions require price rate rice tres utt salary side cut please,0.187,0.711,0.102,-0.2263,negative
mr ugm forced student tent break student tent protesting ukt college building unloading students camp camp house ugm demand remove ukfxlwm wimoa ybxl,0.267,0.733,0.0,-0.743,negative
itbfess speaking paid,0.0,1.0,0.0,0.0,neutral
ugm fess mushroom bread superior,0.0,0.533,0.467,0.5423,positive
uktnotpremit relieve bbcnewsindonesia vfvuqyk j krpfwfiat,0.0,0.615,0.385,0.3612,positive
dannkwartocomeoutbecauseit sdirty letmastforceout ofstrigger foughtthanfocustofomra pocalypt tincanmine ormas pilkada gulsu sara solution,0.0,0.827,0.173,0.3182,positive
